                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5822,                 6.8923,                 2.3848,                0.00018,                0.03333,                0.00011,                  2e-05,                 2.5758,                 4.7653,                 2.2552,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.0604,                 5.4241,                 2.0216,                0.00028,                    0.1,                 0.0002,                0.00012,                 2.7909,                 4.4483,                 2.2183,               0.066699,              0.0036988,              0.0036988
                      2,                   3.03,                 5.0298,                 1.8382,                0.00028,                    0.1,                 0.0002,                0.00012,                 3.4916,                 4.6804,                 2.2761,               0.049596,              0.0055963,              0.0055963
                      3,                 2.7283,                 4.4133,                 1.7235,                0.00177,                   0.35,                 0.0027,                0.00071,                 2.6293,                 4.3175,                 2.1086,               0.032493,              0.0074926,              0.0074926
