                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5219,                 6.8352,                 2.3772,                0.00013,                0.03333,                  7e-05,                  1e-05,                 2.6965,                 4.7732,                 2.2881,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.3668,                 6.1054,                 2.3325,                0.00021,                   0.05,                0.00014,                 0.0001,                 2.9352,                 4.7316,                 2.4082,                 0.0865,              0.0014995,              0.0014995
                      2,                 3.2283,                 5.6841,                   2.09,                0.00027,                    0.1,                0.00024,                0.00017,                 2.8498,                 4.5422,                 2.2212,               0.079298,              0.0022985,              0.0022985
                      3,                 2.8348,                 5.0114,                  1.823,                0.00027,                    0.1,                0.00024,                0.00017,                 2.6625,                 4.4737,                 2.1081,               0.072097,              0.0030969,              0.0030969
                      4,                 2.7224,                 4.5785,                 1.7418,                0.00027,                    0.1,                0.00024,                0.00017,                 3.2591,                 4.9539,                 2.2644,               0.064895,              0.0038949,              0.0038949
                      5,                  2.572,                 4.1542,                 1.6752,                0.00027,                    0.1,                0.00024,                0.00017,                 3.0941,                 4.5355,                 2.3811,               0.057692,              0.0046922,              0.0046922
                      6,                 2.4742,                  3.817,                   1.64,                0.00157,                   0.15,                0.03007,                 0.0106,                  2.647,                 4.2923,                 2.1919,               0.050489,              0.0054891,              0.0054891
