                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2546,                  6.176,                 2.2735,                      0,                      0,                      0,                      0,                 2.8179,                 4.7851,                 2.2937,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.1066,                 5.8871,                 2.0086,                0.00028,                    0.1,                 0.0002,                0.00013,                 2.6512,                 4.4856,                 2.0718,               0.065479,               0.002479,               0.002479
                      2,                 2.8431,                  5.191,                 1.8281,                0.00038,                    0.1,                0.00024,                0.00013,                 2.5082,                 4.3172,                 1.9642,               0.045904,               0.001904,               0.001904
