                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.9999,                 2.0617,                 1.3435,                0.02844,                0.03333,                0.01419,                0.00361,                 2.5997,                 3.8834,                 1.9154,              0.0016142,              0.0016142,              0.0016142
                     34,                 2.0336,                  2.076,                 1.3656,                0.04928,                0.06667,                0.04787,                0.03236,                  2.649,                 3.8686,                 2.1672,              0.0016125,              0.0016125,              0.0016125
                     35,                 1.9801,                 2.0066,                 1.3481,                0.26669,                0.11667,                0.09003,                0.03996,                 2.5826,                 5.9166,                 2.1103,              0.0016109,              0.0016109,              0.0016109
                     36,                 1.9777,                 2.0112,                 1.3273,                0.13124,                0.08333,                0.06054,                0.02355,                 2.8287,                 4.4757,                 2.3515,              0.0016092,              0.0016092,              0.0016092
                     37,                 1.9592,                 1.9008,                 1.3296,                0.06831,                0.13333,                 0.0188,                0.00523,                 2.8673,                 5.1413,                 2.3512,              0.0016076,              0.0016076,              0.0016076
                     38,                 1.9578,                 1.9747,                 1.3505,                0.12531,                0.08333,                0.05177,                 0.0219,                 2.6978,                 3.8798,                 2.1913,              0.0016059,              0.0016059,              0.0016059
                     39,                 1.9113,                 1.8888,                 1.3041,                0.85147,                    0.1,                0.08374,                0.03669,                 2.9118,                 3.5436,                 2.1487,              0.0016043,              0.0016043,              0.0016043
                     40,                 1.8352,                 1.8538,                 1.2729,                0.19534,                0.13333,                0.09228,                0.03291,                  2.826,                 3.4065,                 2.3204,              0.0016026,              0.0016026,              0.0016026
                     41,                  1.884,                 1.7889,                 1.2829,                0.30392,                0.07842,                0.06744,                0.03117,                 3.0466,                 4.0504,                 2.2587,               0.001601,               0.001601,               0.001601
                     42,                 1.9707,                 1.8438,                 1.3346,                0.07512,                0.16667,                  0.027,                0.00845,                 3.1372,                 3.7589,                 2.3348,              0.0015993,              0.0015993,              0.0015993
                     43,                 1.9079,                 1.8271,                 1.2763,                0.08157,                   0.15,                0.05954,                0.02843,                  2.991,                 4.1953,                 2.2723,              0.0015977,              0.0015977,              0.0015977
                     44,                 1.8158,                 1.7363,                 1.2757,                 0.7062,                0.06667,                0.06706,                0.02905,                 3.1047,                 3.6394,                 2.4072,               0.001596,               0.001596,               0.001596
                     45,                 1.8867,                 1.7922,                 1.3042,                0.32258,                   0.15,                0.08074,                0.04806,                 2.7822,                 3.6074,                 2.2817,              0.0015944,              0.0015944,              0.0015944
                     46,                 1.8277,                 1.7452,                 1.2622,                0.61716,                0.18333,                 0.1556,                0.07748,                 2.4945,                 3.3479,                 2.0398,              0.0015927,              0.0015927,              0.0015927
                     47,                 1.8431,                 1.7155,                 1.2638,                0.41133,                0.11667,                0.09715,                0.05903,                 2.3842,                 3.7083,                 1.7632,              0.0015911,              0.0015911,              0.0015911
                     48,                 1.8903,                  1.708,                 1.2695,                0.19672,                0.11667,                 0.0801,                0.04139,                 2.5395,                 3.8824,                 1.8537,              0.0015894,              0.0015894,              0.0015894
                     49,                  1.815,                 1.6588,                 1.2498,                0.03861,                0.06667,                0.02129,                0.00807,                 2.5601,                 4.0089,                 1.7988,              0.0015878,              0.0015878,              0.0015878
                     50,                 1.8117,                 1.5946,                 1.2351,                0.11454,                    0.1,                0.06216,                0.03768,                 2.6365,                 3.7933,                 2.0941,              0.0015861,              0.0015861,              0.0015861
                     51,                 1.8032,                 1.6086,                 1.2513,                0.10426,                0.06667,                0.04676,                0.01497,                 2.9473,                 3.9712,                 2.2601,              0.0015845,              0.0015845,              0.0015845
                     52,                   1.77,                 1.5317,                 1.2737,                 0.5228,                0.03333,                0.00946,                0.00278,                  2.989,                 4.4489,                  2.204,              0.0015828,              0.0015828,              0.0015828
                     53,                 1.7627,                 1.5683,                 1.2383,                0.23204,                0.06667,                0.06952,                 0.0235,                 2.6821,                 3.7276,                 2.0219,              0.0015812,              0.0015812,              0.0015812
                     54,                 1.7492,                 1.5471,                  1.221,                0.07518,                    0.1,                0.08545,                0.04532,                  2.509,                 3.3107,                 1.9182,              0.0015795,              0.0015795,              0.0015795
                     55,                 1.7977,                 1.5811,                 1.2489,                  0.309,                0.23333,                 0.1384,                0.04488,                 2.7906,                 3.3915,                 2.1204,              0.0015779,              0.0015779,              0.0015779
                     56,                  1.737,                 1.4902,                 1.2186,                0.23571,                   0.15,                0.11039,                0.05068,                 2.7128,                 3.2915,                 2.0936,              0.0015762,              0.0015762,              0.0015762
                     57,                 1.7127,                 1.4595,                 1.2341,                0.12095,                0.06667,                0.06135,                0.02446,                 2.8337,                  3.804,                 2.0974,              0.0015746,              0.0015746,              0.0015746
                     58,                 1.6675,                 1.4239,                 1.1923,                0.50751,                0.08333,                0.06459,                 0.0398,                 2.6041,                 4.5993,                 1.8304,              0.0015729,              0.0015729,              0.0015729
                     59,                 1.6972,                 1.4457,                 1.2062,                    0.5,                0.06622,                0.08256,                 0.0185,                 3.1545,                 5.1121,                 2.4548,              0.0015713,              0.0015713,              0.0015713
                     60,                 1.6748,                 1.3692,                 1.2043,                0.96269,                0.06667,                0.08972,                0.03661,                 2.7952,                 3.7306,                 2.1726,              0.0015696,              0.0015696,              0.0015696
                     61,                 1.6534,                 1.3608,                 1.1832,                0.64528,                    0.1,                0.07708,                 0.0339,                 2.8334,                  3.925,                   2.09,               0.001568,               0.001568,               0.001568
                     62,                 1.6848,                 1.4453,                 1.1924,                0.70841,                0.06667,                0.07182,                0.02819,                 2.7688,                 3.9463,                 2.1383,              0.0015663,              0.0015663,              0.0015663
                     63,                 1.7122,                 1.4404,                  1.209,                0.06061,                0.06667,                0.04341,                 0.0092,                 3.0451,                 4.1951,                 2.1185,              0.0015647,              0.0015647,              0.0015647
                     64,                 1.6759,                  1.348,                 1.2119,                0.49819,                0.11667,                0.12316,                0.06832,                 2.7193,                 4.2014,                 2.0099,               0.001563,               0.001563,               0.001563
                     65,                 1.6435,                 1.3529,                 1.1962,                 0.6266,                0.03333,                0.02882,                0.01183,                 2.8698,                 4.6285,                 2.1064,              0.0015614,              0.0015614,              0.0015614
                     66,                 1.6181,                 1.3246,                 1.1795,                0.30875,                0.06667,                 0.0618,                0.02915,                 3.0215,                 4.8856,                 2.3337,              0.0015597,              0.0015597,              0.0015597
                     67,                 1.6122,                 1.3119,                 1.1649,                0.08927,                0.16667,                0.06857,                 0.0385,                 2.7899,                 5.6094,                 2.1376,              0.0015581,              0.0015581,              0.0015581
                     68,                 1.6854,                 1.3274,                 1.1672,                0.77864,                   0.05,                0.07008,                0.02621,                 2.8929,                  4.957,                 2.1447,              0.0015564,              0.0015564,              0.0015564
                     69,                  1.678,                 1.3222,                 1.1873,                0.37927,                0.14892,                 0.1098,                0.06724,                 2.5785,                 4.6187,                 1.9115,              0.0015548,              0.0015548,              0.0015548
                     70,                 1.6165,                 1.3479,                 1.1337,                0.19129,                   0.15,                0.14278,                0.08123,                 2.7194,                 3.2331,                 2.0715,              0.0015531,              0.0015531,              0.0015531
                     71,                 1.5339,                  1.278,                 1.1455,                0.23338,                0.08333,                0.05449,                0.02532,                 2.7687,                 3.9394,                 1.9948,              0.0015515,              0.0015515,              0.0015515
                     72,                 1.6166,                 1.2949,                 1.1704,                0.22269,                0.08333,                0.02993,                0.01035,                 3.0005,                 4.0466,                 2.4032,              0.0015498,              0.0015498,              0.0015498
                     73,                 1.5963,                 1.2377,                 1.1559,                0.07142,                    0.1,                0.04846,                0.01903,                 2.7862,                 3.8661,                 2.1927,              0.0015482,              0.0015482,              0.0015482
                     74,                 1.6215,                 1.2615,                 1.1787,                0.22919,                0.16667,                0.10764,                0.05195,                 2.5164,                 3.4029,                  1.917,              0.0015465,              0.0015465,              0.0015465
                     75,                 1.5664,                 1.2853,                  1.143,                0.51313,                0.11667,                0.11584,                0.04703,                 2.6827,                 3.3275,                 2.1666,              0.0015449,              0.0015449,              0.0015449
                     76,                 1.5634,                 1.2069,                 1.1431,                0.15785,                0.11667,                0.07358,                0.03373,                 2.7022,                   4.18,                 2.0114,              0.0015432,              0.0015432,              0.0015432
                     77,                 1.5393,                 1.2051,                 1.1373,                 0.1584,                0.18333,                0.09421,                0.03786,                  2.627,                 3.8089,                 1.9471,              0.0015416,              0.0015416,              0.0015416
                     78,                 1.5658,                 1.1464,                 1.1169,                0.16633,                    0.1,                 0.0817,                0.02911,                 2.9782,                 3.8554,                 2.3499,              0.0015399,              0.0015399,              0.0015399
                     79,                 1.5182,                  1.174,                 1.1353,                0.21512,                0.13333,                0.06864,                0.03927,                 2.8067,                 4.1509,                 2.0717,              0.0015383,              0.0015383,              0.0015383
                     80,                 1.4958,                  1.126,                 1.0934,                0.24868,                0.11667,                0.07552,                0.03153,                 2.8639,                 3.7477,                 2.0575,              0.0015366,              0.0015366,              0.0015366
                     81,                 1.5471,                 1.1369,                 1.1209,                0.15369,                0.08333,                0.03293,                0.02162,                 3.1528,                 3.6357,                 2.1204,               0.001535,               0.001535,               0.001535
                     82,                 1.5107,                 1.0951,                 1.1225,                0.34486,                0.14833,                0.09745,                0.04007,                 2.6632,                 3.6736,                 1.8743,              0.0015333,              0.0015333,              0.0015333
                     83,                 1.4709,                 1.1165,                 1.1117,                0.38115,                0.11667,                0.11965,                0.05271,                 2.8708,                 3.6623,                 2.1364,              0.0015317,              0.0015317,              0.0015317
                     84,                 1.4902,                 1.1429,                 1.1117,                0.04848,                0.06667,                0.05036,                0.02599,                 2.8244,                 3.9122,                 2.0684,                0.00153,                0.00153,                0.00153
                     85,                  1.492,                 1.0943,                 1.0933,                0.14349,                0.18333,                0.04615,                0.01765,                 2.5505,                  4.035,                 2.1015,              0.0015284,              0.0015284,              0.0015284
                     86,                 1.4672,                 1.1105,                 1.0983,                0.12804,                0.18333,                0.08975,                0.04122,                 2.9538,                 3.4225,                 2.3194,              0.0015267,              0.0015267,              0.0015267
                     87,                  1.425,                 1.0334,                 1.0684,                0.65215,                0.11667,                0.13374,                0.05375,                 2.8362,                 3.1774,                 2.1841,              0.0015251,              0.0015251,              0.0015251
                     88,                 1.5146,                 1.1304,                 1.1043,                0.12569,                0.11667,                0.04516,                0.02488,                 2.8298,                 3.9877,                 2.1585,              0.0015234,              0.0015234,              0.0015234
                     89,                 1.5094,                 1.1094,                 1.0972,                0.20465,                   0.15,                0.07636,                 0.0321,                 2.8747,                 4.0057,                 2.1335,              0.0015218,              0.0015218,              0.0015218
                     90,                    1.5,                  1.112,                 1.0949,                0.14674,                0.18333,                0.08499,                 0.0366,                 2.8028,                 3.6156,                 2.1777,              0.0015201,              0.0015201,              0.0015201
                     91,                 1.4767,                 1.0636,                 1.0918,                0.24101,                0.11667,                0.11124,                0.05619,                 2.6548,                 3.7884,                 2.0952,              0.0015185,              0.0015185,              0.0015185
                     92,                 1.4177,                 1.0119,                 1.0919,                 0.5383,                   0.15,                0.14875,                0.06302,                 2.8394,                 3.3267,                 2.3434,              0.0015168,              0.0015168,              0.0015168
                     93,                 1.4335,                  1.026,                 1.0819,                0.73639,                0.06667,                0.06228,                0.02945,                 2.9318,                 4.0766,                 2.2367,              0.0015152,              0.0015152,              0.0015152
                     94,                 1.3751,                 1.0038,                 1.0661,                0.87345,                    0.1,                 0.1166,                0.05614,                 2.8143,                 4.2469,                 2.2353,              0.0015135,              0.0015135,              0.0015135
                     95,                 1.4115,                0.96441,                 1.0769,                0.23413,                0.06667,                0.04391,                0.01408,                 3.1251,                 4.3999,                 2.2987,              0.0015119,              0.0015119,              0.0015119
                     96,                 1.3439,                0.97551,                 1.0384,                0.46808,                0.11667,                0.07062,                0.03596,                 2.9211,                 4.2614,                 2.1452,              0.0015102,              0.0015102,              0.0015102
                     97,                 1.3711,                0.94818,                 1.0574,                0.20307,                0.23333,                 0.1362,                 0.0721,                 2.5553,                 3.6311,                 2.1604,              0.0015086,              0.0015086,              0.0015086
                     98,                 1.3903,                 1.0041,                 1.0643,                 0.3479,                   0.15,                0.12593,                0.06226,                 2.5662,                 3.5717,                 1.8801,              0.0015069,              0.0015069,              0.0015069
