                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2546,                  6.176,                 2.2735,                      0,                      0,                      0,                      0,                 2.8179,                 4.7851,                 2.2937,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.0505,                 5.7544,                 1.9576,                0.00043,                   0.15,                0.00037,                0.00026,                  3.052,                 4.4792,                 2.2827,               0.066699,              0.0036988,              0.0036988
                      2,                 2.8558,                 4.9863,                 1.7716,                 0.0008,                   0.15,                0.00054,                0.00023,                 2.9344,                 4.5145,                 2.2571,               0.049596,              0.0055963,              0.0055963
                      3,                 2.7159,                 4.3446,                 1.6753,                0.00023,                0.03333,                0.00012,                  2e-05,                 3.8479,                 4.8235,                 2.3953,               0.032493,              0.0074926,              0.0074926
                      4,                 2.6832,                 4.1196,                 1.6574,                0.00092,                0.18333,                0.00195,                0.00045,                 3.3662,                 4.5655,                 2.0618,               0.015388,              0.0093876,              0.0093876
                      5,                  2.669,                   3.89,                 1.6754,                0.00152,                0.26667,                0.00747,                0.00256,                 2.5272,                 4.1431,                 2.0212,              0.0099835,              0.0099835,              0.0099835
                      6,                 2.6418,                 3.7463,                 1.6209,                0.00176,                   0.35,                0.00784,                0.00223,                 2.6626,                 3.9261,                 2.0497,              0.0099835,              0.0099835,              0.0099835
                      7,                 2.6735,                 4.0174,                 1.6003,                0.64823,                   0.05,                0.08007,                 0.0195,                 2.9236,                 3.9433,                 2.4555,              0.0099802,              0.0099802,              0.0099802
                      8,                 2.5665,                 3.4907,                 1.5927,                0.56098,                    0.1,                0.01751,                0.00387,                 2.9284,                 6.2241,                 2.1422,              0.0099769,              0.0099769,              0.0099769
                      9,                 2.6032,                 3.4278,                 1.5739,                0.08907,                0.11667,                0.02441,                0.01127,                 3.0058,                 5.4383,                 2.2001,              0.0099736,              0.0099736,              0.0099736
                     10,                 2.5824,                 3.3281,                 1.6808,                0.12331,                0.08333,                0.04925,                0.01881,                 2.8351,                 3.6167,                 2.1267,              0.0099703,              0.0099703,              0.0099703
                     11,                 2.4923,                 3.1952,                 1.5216,                0.08537,                  0.097,                0.02731,                0.00777,                 2.6599,                  3.776,                  1.847,               0.009967,               0.009967,               0.009967
                     12,                 2.4324,                   3.14,                 1.5243,                0.59877,                   0.05,                0.02585,                0.00536,                 2.6844,                 4.0333,                 1.8761,              0.0099637,              0.0099637,              0.0099637
                     13,                 2.5409,                 3.2606,                 1.5663,                0.13292,                0.16667,                0.05511,                0.01899,                 2.7906,                 3.5622,                 2.0745,              0.0099604,              0.0099604,              0.0099604
                     14,                 2.4778,                 2.9618,                 1.5076,                0.00499,                0.28333,                0.02926,                0.01205,                 2.8763,                 3.9946,                 2.1677,              0.0099571,              0.0099571,              0.0099571
                     15,                 2.4098,                 2.9128,                 1.5348,                0.56881,                0.06667,                 0.0284,                0.00852,                 2.7694,                 3.9924,                 1.9613,              0.0099538,              0.0099538,              0.0099538
                     16,                 2.5684,                 2.9747,                 1.5269,                0.07922,                   0.15,                0.03409,                0.01581,                 2.9033,                 3.9242,                  1.956,              0.0099505,              0.0099505,              0.0099505
                     17,                 2.3849,                 2.9185,                  1.496,                0.66491,                    0.1,                0.07193,                0.02563,                  2.649,                 3.4556,                 1.9073,              0.0099472,              0.0099472,              0.0099472
                     18,                 2.4023,                 2.9803,                 1.4982,                0.97105,                0.06667,                0.09586,                0.03568,                 2.5844,                 3.2954,                 1.7339,              0.0099439,              0.0099439,              0.0099439
                     19,                 2.4137,                 2.8248,                 1.5188,                0.09514,                0.03333,                0.03091,                 0.0064,                 3.0617,                 3.8129,                 2.0893,              0.0099406,              0.0099406,              0.0099406
                     20,                 2.3072,                 2.7488,                 1.4643,                0.10887,                    0.1,                0.04515,                0.01322,                 3.1696,                 3.4256,                 2.1385,              0.0099373,              0.0099373,              0.0099373
                     21,                 2.2783,                 2.6963,                 1.4472,                0.16517,                0.23333,                0.09706,                0.03446,                 2.9197,                 3.7541,                 2.0182,               0.009934,               0.009934,               0.009934
                     22,                 2.3178,                 2.5836,                 1.4452,                0.24586,                0.26667,                 0.1481,                0.05643,                 2.7881,                 3.8432,                 1.8624,              0.0099307,              0.0099307,              0.0099307
                     23,                 2.2268,                  2.556,                 1.4475,                0.27463,                0.22055,                0.12086,                0.05004,                 2.7493,                 3.2894,                 1.9183,              0.0099274,              0.0099274,              0.0099274
                     24,                 2.2535,                  2.477,                 1.4203,                0.17383,                   0.15,                0.09319,                0.04111,                 2.6083,                  3.423,                 1.8818,              0.0099241,              0.0099241,              0.0099241
                     25,                  2.206,                 2.5352,                 1.4262,                0.42512,                0.11667,                0.12538,                0.05107,                 2.7467,                  3.503,                 1.8718,              0.0099208,              0.0099208,              0.0099208
                     26,                 2.2131,                  2.488,                 1.4463,                0.49291,                0.11667,                0.12675,                0.05479,                 2.7602,                 3.4181,                 1.9528,              0.0099175,              0.0099175,              0.0099175
                     27,                 2.1358,                 2.3385,                 1.4008,                0.31933,                0.08333,                0.08058,                 0.0417,                 2.3822,                 3.4557,                 1.8204,              0.0099142,              0.0099142,              0.0099142
                     28,                 2.1355,                 2.3179,                 1.3889,                0.09011,                0.08333,                0.03822,                0.01673,                 2.4179,                 3.5545,                  1.814,              0.0099109,              0.0099109,              0.0099109
                     29,                 2.0731,                 2.3513,                 1.3786,                0.01599,                0.03333,                0.01191,                 0.0043,                 2.8369,                 3.9327,                 1.8803,              0.0099076,              0.0099076,              0.0099076
                     30,                 2.1311,                 2.2947,                 1.3511,                0.69731,                0.06667,                0.06298,                0.02341,                 2.5835,                 3.4588,                 1.7926,              0.0099043,              0.0099043,              0.0099043
                     31,                 2.2387,                 2.3779,                 1.3899,                0.00162,                   0.15,                0.00141,                0.00037,                 3.0245,                 4.7472,                 2.1951,               0.009901,               0.009901,               0.009901
                     32,                  2.041,                 2.1725,                 1.3489,                0.64018,                0.03333,                0.02364,                0.01068,                 2.8255,                 4.0675,                 2.0398,              0.0098977,              0.0098977,              0.0098977
                     33,                  1.999,                 2.0613,                 1.3086,                0.73689,                0.06667,                0.04522,                0.02501,                 2.5253,                  4.443,                 1.9482,              0.0098944,              0.0098944,              0.0098944
                     34,                 2.0539,                 2.1522,                 1.3151,                0.73772,                0.06667,                0.05906,                 0.0312,                 2.5049,                 3.5166,                 1.7799,              0.0098911,              0.0098911,              0.0098911
                     35,                 2.0183,                 2.0574,                  1.338,                0.15792,                0.23333,                0.08057,                0.03478,                 2.5347,                 3.4885,                 1.8387,              0.0098878,              0.0098878,              0.0098878
                     36,                 2.0362,                 2.0507,                 1.3287,                0.62323,                0.06667,                0.03987,                0.01685,                   2.94,                 3.4642,                  2.133,              0.0098845,              0.0098845,              0.0098845
                     37,                 2.0207,                 2.1064,                 1.3309,                 0.1874,                0.11667,                0.04375,                0.01846,                 2.6128,                 3.6952,                 1.9325,              0.0098812,              0.0098812,              0.0098812
                     38,                 2.0346,                 2.0455,                 1.3153,                0.19739,                0.06667,                0.06725,                 0.0389,                 2.4341,                 3.5759,                 1.6671,              0.0098779,              0.0098779,              0.0098779
                     39,                 1.9261,                 1.8847,                 1.2626,                0.81368,                0.06667,                0.12398,                0.06123,                 2.5122,                 3.4505,                 1.8035,              0.0098746,              0.0098746,              0.0098746
                     40,                 1.9647,                 1.9207,                 1.3118,                0.22379,                0.06667,                0.05925,                0.02477,                 2.6452,                 3.3574,                 1.9153,              0.0098713,              0.0098713,              0.0098713
                     41,                 1.9579,                 2.0305,                 1.3011,                0.08771,                    0.2,                0.05737,                0.02371,                 2.5776,                 3.5255,                 1.9277,               0.009868,               0.009868,               0.009868
                     42,                  1.956,                 1.8952,                 1.3045,                0.80063,                0.06667,                0.08641,                0.04118,                 2.8772,                 3.5202,                 2.1469,              0.0098647,              0.0098647,              0.0098647
                     43,                  1.858,                 1.7458,                 1.2814,                0.06702,                   0.15,                 0.0467,                0.02038,                 2.7015,                 3.5916,                  1.964,              0.0098614,              0.0098614,              0.0098614
                     44,                 1.9298,                 1.8568,                 1.2835,                0.09921,                0.06667,                 0.0387,                0.01665,                 2.6393,                  3.615,                 1.9516,              0.0098581,              0.0098581,              0.0098581
                     45,                 1.8693,                 1.8741,                  1.278,                0.31138,                0.06667,                0.06039,                0.03762,                 2.7287,                 3.2818,                 1.9824,              0.0098548,              0.0098548,              0.0098548
                     46,                 1.8938,                 1.7629,                 1.2694,                0.71451,                0.06667,                0.05486,                0.02928,                 2.7748,                 3.5451,                 1.9251,              0.0098515,              0.0098515,              0.0098515
                     47,                 1.7919,                 1.7062,                 1.2458,                0.82794,                0.06667,                0.10974,                0.05415,                 2.6233,                 3.1823,                 1.9366,              0.0098482,              0.0098482,              0.0098482
