                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4803,                 6.7503,                 2.3466,                      0,                      0,                      0,                      0,                 2.7165,                  4.783,                 2.2884,                 0.0955,                 0.0005,                 0.0005
                      1,                 3.4346,                 6.1777,                 2.4036,                      0,                      0,                      0,                      0,                 2.8087,                 4.9119,                 2.3794,                 0.0901,              0.0010996,              0.0010996
                      2,                 3.2489,                 5.9072,                 2.1767,                0.00034,                    0.1,                0.00021,                  6e-05,                   2.89,                 4.5747,                 2.3693,               0.084699,              0.0016989,              0.0016989
                      3,                 3.0669,                 5.3195,                 1.9394,                0.00065,                0.13333,                0.00043,                0.00015,                 2.6247,                  4.408,                 2.1311,               0.079298,              0.0022977,              0.0022977
                      4,                 2.8734,                 4.9888,                 1.7908,                0.00065,                0.13333,                0.00043,                0.00015,                 2.8485,                 4.4321,                 2.1082,               0.073896,              0.0028962,              0.0028962
                      5,                 2.6432,                 4.5571,                 1.6567,                0.00065,                0.13333,                0.00043,                0.00015,                 2.7384,                  4.532,                 2.0935,               0.068494,              0.0034942,              0.0034942
                      6,                 2.6126,                 4.1247,                 1.6375,                0.00125,                0.11667,                 0.0007,                  7e-05,                 2.5179,                 4.3508,                 1.9693,               0.063092,              0.0040919,              0.0040919
                      7,                 2.5928,                 3.9383,                 1.6344,                  0.001,                    0.1,                0.01137,                0.00454,                 2.3011,                 4.2724,                 1.7603,               0.057689,              0.0046891,              0.0046891
                      8,                 2.5084,                 3.5786,                 1.5424,                0.00152,                0.16667,                0.01892,                0.00707,                 2.2607,                 4.1889,                 1.6997,               0.052286,               0.005286,               0.005286
                      9,                 2.4809,                  3.508,                 1.5637,                0.00146,                0.16667,                0.00123,                0.00039,                 2.2858,                 4.1197,                 1.8045,               0.046882,              0.0058825,              0.0058825
                     10,                 2.4346,                 3.4453,                 1.5336,                0.00041,                0.03333,                0.00124,                0.00012,                 2.7892,                 4.3152,                 2.3031,               0.041479,              0.0064785,              0.0064785
                     11,                 2.3625,                 3.2806,                 1.5379,                0.00121,                0.11667,                0.00358,                0.00091,                 2.4671,                 4.0483,                 1.9946,               0.036074,              0.0070742,              0.0070742
                     12,                 2.3024,                 3.1897,                 1.4692,                0.00179,                0.18333,                0.02072,                0.00567,                 2.6208,                 4.0545,                 1.9668,                0.03067,              0.0076695,              0.0076695
                     13,                  2.359,                 3.0091,                 1.5209,                0.00052,                0.03333,                0.00489,                0.00098,                 2.9439,                 4.4722,                 2.3858,               0.025264,              0.0082644,              0.0082644
                     14,                 2.3397,                 3.0506,                 1.5018,                0.00052,                0.03333,                0.00489,                0.00098,                 3.2185,                 4.6884,                 2.6703,               0.019859,              0.0088589,              0.0088589
                     15,                 2.3994,                  2.981,                 1.5147,                0.00189,                    0.1,                0.00285,                0.00065,                 3.3269,                  4.797,                 2.6594,               0.014453,               0.009453,               0.009453
                     16,                 2.3674,                 3.0348,                 1.5049,                0.00105,                    0.2,                0.00103,                0.00018,                 3.3729,                 4.5127,                 2.4366,              0.0099472,              0.0099472,              0.0099472
                     17,                 2.3588,                 2.9596,                 1.4904,                0.00067,                0.08333,                0.00689,                0.00242,                 3.2688,                 4.1028,                 2.3644,              0.0099472,              0.0099472,              0.0099472
                     18,                 2.3784,                  2.948,                  1.493,                0.02631,                   0.05,                0.00469,                0.00088,                 3.4328,                 4.7253,                 3.0375,              0.0099439,              0.0099439,              0.0099439
                     19,                 2.3843,                 2.9408,                  1.457,                0.00488,                0.16667,                0.00285,                0.00084,                  3.033,                 5.8385,                 3.0339,              0.0099406,              0.0099406,              0.0099406
                     20,                 2.2853,                  2.786,                 1.4406,                0.00325,                0.13333,                0.00287,                0.00063,                 2.9957,                  4.679,                 2.3243,              0.0099373,              0.0099373,              0.0099373
                     21,                 2.3243,                 2.8642,                 1.4858,                0.00208,                0.31667,                0.00552,                0.00108,                 2.9159,                 4.2798,                 2.1237,               0.009934,               0.009934,               0.009934
                     22,                 2.2891,                 2.7619,                 1.4337,                0.00364,                0.11667,                0.00638,                0.00106,                 2.9044,                 5.4425,                  2.421,              0.0099307,              0.0099307,              0.0099307
                     23,                 2.3675,                 2.7289,                  1.431,                0.01812,                   0.05,                0.00732,                0.00241,                 2.6753,                 5.3322,                 2.4989,              0.0099274,              0.0099274,              0.0099274
                     24,                 2.2728,                 2.6721,                 1.4363,                0.02646,                0.18333,                0.00765,                0.00274,                 2.6902,                 15.336,                  2.485,              0.0099241,              0.0099241,              0.0099241
                     25,                 2.2913,                 2.6334,                 1.4238,                0.52718,                    0.1,                0.01618,                 0.0027,                 2.8468,                 38.369,                 2.5304,              0.0099208,              0.0099208,              0.0099208
                     26,                 2.3104,                 2.5946,                 1.4327,                0.51492,                    0.1,                0.00735,                 0.0018,                 3.0408,                 38.937,                 2.6205,              0.0099175,              0.0099175,              0.0099175
                     27,                 2.1923,                 2.5187,                 1.3947,                0.22447,                0.08333,                0.02342,                0.01863,                 2.9747,                 5.4563,                 2.2065,              0.0099142,              0.0099142,              0.0099142
